50:0f:80:fd:7f:b0
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"65.95,65.95"
"123.52,123.52"
"0.0,0.0"
50:0f:80:ee:6d:52
"0.0,0.0"
"43.06,43.06"
"95.28,95.28"
"94.0,94.0"
"166.64,166.64"
"44.26,44.26"
"101.73,101.73"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
38:90:a5:00:09:41
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"48.3,48.3"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"57.98,57.98"
"151.89,151.89"
"90.99,90.99"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"45.19,45.19"
38:90:a5:9d:10:91
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"184.05,184.05"
"0.0,0.0"
38:90:a5:9d:1b:31
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"35.84,35.84"
50:0f:80:c4:5f:62
"0.0,0.0"
"0.0,0.0"
"107.95,107.95"
"79.16,79.16"
"0.0,0.0"
"44.1,44.1"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"91.23,91.23"
"66.65,66.65"
"140.99,140.99"
"184.77,184.77"
"192.23,192.23"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
38:90:a5:37:42:d2
"43.77,43.77"
"83.96,83.96"
"138.58,138.58"
